ID,Nome,Etimologia (Tupi/Raízes),Tipagem,Base Biológica,Conceito,Dex Entry,Visual Prompt,Som,Pré-Evolução,Evolução,Inspirado em (Moveset)
11,Teviguari,Bem-te-vi + Guari (Pássaro mítico),Normal/Flying,Bem-te-vi Real,O Juiz dos Céus,Seu grito amplificado atordoa inimigos. Ele bombardeia invasores com sementes duras como balas de borracha.,Pássaro maior plumagem dourada no peito formando uma 'armadura'.,Grito 'BEM-TE-VI' amplificado como megafone.,Tevi,-,Staraptor
12,Tukan,Tukana (Tucano),Electric/Flying,Tucano-toco,O Bico de Raio,O bico oco acumula estática das nuvens. Em dias secos solta faíscas quando bica madeira.,Tucano com bico laranja translúcido faiscando. Penas pretas arrepiadas.,Estalos elétricos e som de madeira oca.,-,Tukanberá,Wattrel
13,Tukanberá,Tukana + Berab (Raio/Brilho),Electric/Flying,Tucano + Trovão,O Senhor da Tempestade,Seu grito convoca tempestades localizadas por ionização do ar. O bico é feito de plasma solidificado.,Tucano enorme plumagem azul-elétrico bico de energia pura pulsante.,Som de trovão rasgando o céu.,Tukan,-,Kilowattrel
14,Gavi,Gavião,Fighting/Flying,Gavião-preto,O Cadete,Treina mergulhos de alta velocidade. Suas garras ainda são frágeis então prefere chutar suas presas no ar.,Gavião jovem penas cinzas desgrenhadas pernas desproporcionalmente grossas.,Piado estridente e agressivo.,-,Uirauçu,Hawlucha
15,Uirauçu,Uira (Pássaro) + Uçu (Grande),Fighting/Flying,Harpia (Gavião-Real),O Rei da Copa,A maior ave de rapina. Consegue arrancar o teto de um carro. Suas garras têm a pressão de uma prensa hidráulica.,Harpia imponente com cocar de penas reais parecendo uma coroa. Olhos focados.,Grito de águia com ressonância grave.,Gavi,-,Galarian Zapdos
16,Natiú,Nhati'ũ (Mosquito),Bug,Mosquito da Dengue,O Zumbido,Frágil e irritante. Drena pequenas quantidades de energia vital. Sua presença causa coceira fantasma.,Mosquito gigante listrado de branco e preto. Probóscide fina como agulha.,Zumbido insuportável no ouvido.,-,Mberui,Kricketot
17,Mberui,Mberu (Mosca) + Ru'i (Sangue),Bug/Dark,Mosquito Mutante,O Vetor,Carrega toxinas paralisantes no abdômen. Sua picada deixa a vítima confusa facilitando o ataque do enxame.,Mosquito maior abdômen vermelho pulsante cheio de fluido. Asas roxas.,Zumbido grave e intermitente.,Natiú,Zikanu,Lokix
18,Zikanu,Zika + Canu (Tonto) + Anu (Aumentativo),Bug/Dark,Mosquito Monstruoso,A Praga Alada,Um enxame pode dizimar uma cidade. Drena fluidos corporais em segundos deixando apenas cascas secas.,Mosquito humanoide esquelético quatro asas múltiplos olhos vermelhos compostos.,Som de milhares de asas batendo em uníssono.,Mberui,-,Lokix
19,Ysa,Ysá (Formiga),Bug/Ground,Saúva (Cortadeira),A Operária,Capaz de carregar 50x seu peso. Corta aço com a mesma facilidade que corta folhas.,Formiga vermelha com mandíbulas desproporcionais carregando uma placa de metal.,Som de 'tec-tec' mecânico das mandíbulas.,-,Ysakata,Nincada
20,Ysakata,Ysá + Kata (Duro/Forte),Bug/Ground,Formiga Soldado,A Guarda,Sua cabeça é uma rocha viva. Bloqueia a entrada do formigueiro com o próprio corpo tornando-se uma porta impenetrável.,Formiga robusta carapaça de barro endurecido e pedras. Cabeça chata e larga.,Som de pedras batendo.,Ysa,Ysara,Nincada
21,Ysara,Ysá + Yara (Senhora),Bug/Ground,Rainha Saúva,A Matriarca,Controla o enxame por telepatia de feromônios. Seu abdômen gera vida e tremores de terra quando irritada.,Formiga gigante abdômen enorme inchado. Asas vestigiais douradas.,Som de terra tremendo e estalos.,Ysakata,-,
22,Pana,Panapaná (Coletivo),Bug/Fairy,Lagarta da Morpho,O Sonhador,Emite um pó alucinógeno para evitar ser comida. Predadores veem monstros onde só há uma lagarta.,Lagarta gorda azul neon com espinhos macios rosa.,Som de mastigação fofa.,-,Pupana,Cutiefly
23,Pupana,Pupa + Pana,Bug/Fairy,Casulo,O Dorminhoco,Um casulo de seda indestrutível que reflete o céu. Dizem que contém os sonhos da floresta.,Casulo em forma de joia lapidada pendurado por fio de seda.,Silêncio absoluto ocasionalmente um brilho.,Pana,Morphokera,
24,Morphokera,Morpho + Kera (Dormir/Sonho),Bug/Fairy,Borboleta Morpho,O Espelho da Alma,Suas asas não têm pigmento apenas refletem luz. Quem olha fixamente vê seus desejos mais profundos refletidos.,Borboleta gigante azul metálico iridescente. Rastro de pó brilhante.,Som de harpa suave ou sinos de vento.,Pupana,-,Ribombee
25,Aguapé,Aguapé (Planta),Grass/Water,Lírio d'água,O Flutuador,Vive boiando em águas calmas. Se um inseto pousa a flor fecha instantaneamente para digestão.,Pequena vitória régia com rosto simples na folha. Raízes finas como pernas.,Som de água borbulhando.,-,Irupé,Lotad
26,Irupé,Irupé (Vitória Régia),Grass/Water,Vitória Régia,A Plataforma,Sua folha suporta o peso de um humano. Usa sementes explosivas como minas aquáticas para defesa.,Vitória régia grande com bordas altas. Flor rosa no centro parecendo uma coroa.,Som de algo batendo na superfície da água.,Aguapé,Irupé-Açu,Lombre
27,Irupé-Açu,Irupé + Guaçu (Grande),Grass/Water,Vitória Régia Gigante,O Leviatã Floral,O corpo real é um emaranhado de raízes submersas. A flor na superfície é apenas um chamariz para arrastar presas.,Monstro de algas e raízes com uma 'máscara' de flor. Corpo submerso escuro.,Borbulhar sinistro e estalo de raízes.,Irupé,-,Ludicolo
28,Tesá,Tesá (Olho),Grass/Psychic,Fruto do Guaraná,O Observador,Parece um olho humano num arbusto. Nunca pisca. Causa paranoia e insônia em quem tenta colhê-lo.,Cacho de frutas vermelhas abertas revelando olhos brancos com pupilas pretas.,Sussurros ininteligíveis.,-,Waraná,Exeggcute
29,Waraná,Waraná (Guaraná),Grass/Psychic,Arbusto Guaraná,O Vigia da Mata,Seus múltiplos olhos veem frações do futuro imediato. Usa cafeína psíquica para acelerar aliados.,Arbusto denso com dezenas de olhos piscando descompassadamente. Cipós tentaculares.,Som de muitos olhos piscando (viscoso).,Tesá,-,Exeggutor
30,Kuri,Kuri (Pinheiro),Grass/Rock,Pinhão,O Sementeiro,Uma semente dura como granito. Fica imóvel por anos esperando o solo ideal ou ser arremessado por um pássaro.,Pinhão com perninhas e braços curtos. Casca marrom polida.,Som de madeira oca batendo.,-,Kurimata,Lileep
31,Kurimata,Kuri + Mata,Grass/Rock,Araucária Jovem,O Pinheiro Lanceiro,Suas folhas são lâminas afiadas de xisto. Dispara pinhas explosivas contra lenhadores.,Pequena árvore cônica com folhas triangulares afiadas e postura rígida.,Som de vento cortando folhas rígidas.,Kuri,Arauká,Cradily
32,Arauká,Araucária + Ka'a,Grass/Rock,Araucária Adulta,O Fóssil Vivo,Sobreviveu a eras glaciais. Sua casca é impenetrável. Os galhos em candelabro canalizam energia cósmica.,Árvore majestosa alta copa em taça. Casca escamosa feita de rocha sedimentar.,Som de troncos rangendo ao vento forte.,Kurimata,-,Cradily
33,Pirai,Pira (Peixe) + Rai (Dente),Water/Dark,Piranha,A Dentada,Sozinha é covarde em cardume devora um Tauros em segundos. Percebe uma gota de sangue a quilômetros.,Peixe redondo vermelho mandíbula inferior proeminente dentes triangulares.,Som de peixe se debatendo freneticamente.,-,Piraya,Carvanha
34,Piraya,Pira + Aia (Tesoura),Water/Dark,Piranha Preta,O Estripador,Sua mordida tritura aço. Possui bioluminescência para caça noturna em águas turvas.,Peixe preto com olhos vermelhos brilhantes e dentes metálicos expostos.,Som de metal cortando carne.,Pirai,-,Sharpedo
35,Pura,Poraquê (Enguia),Water/Electric,Enguia,O Choque,Gera pulsos fracos para navegação. Tímido prefere se esconder na lama a lutar.,Pequena enguia marrom com pontas amarelas.,Zumbido elétrico baixo.,-,Purakê,Chinchou
36,Purakê,Poraquê,Water/Electric,Enguia Elétrica,A Bateria,Gera 600 Volts. Não tem escamas sua pele é pura eletricidade estática contida. Paralisa músculos à distância.,Enguia longa e grossa. Arcos voltaicos percorrem seu corpo constantemente.,Som de alta voltagem (Bzzzzzt!).,Pura,-,Lanturn
37,Piraru,Pira + Uruku (Vermelho),Water/Dragon,Pirarucu Jovem,O Peixe Pulmão,Possui pulmões primitivos. Salta fora d'água para capturar pássaros desatentos.,Peixe alongado com escamas avermelhadas e cabeça óssea dura.,Som de baque surdo na água.,-,Pirauçu,Tatsugiri
38,Pirauçu,Pira + Uçu (Grande),Water/Dragon,Pirarucu Gigante,O Monstro do Lago,O maior peixe de água doce. Suas escamas são usadas como lixa industrial. Sua língua óssea esmaga pedras.,Peixe colossal escamas vermelhas e pretas blindadas. Língua óssea visível.,Rugido subaquático e respiração pulmonar pesada.,Piraru,-,Kingdra
39,Kapiy,Kapi'i (Capim) + Y (Água),Normal/Water,Capivara,A Amiga de Todos,Exala uma aura de tranquilidade. Predadores perdem a vontade de atacar perto dela.,Capivara redonda e simpática com uma flor na cabeça.,Som de 'hmpf' relaxado.,-,Kapiuara,Bibarel
40,Kapiuara,Capivara + Uara (Senhor),Normal/Water,Capivara Gigante,A Diplomata,Sua calma impõe a paz na floresta. Pode caminhar sobre a superfície da água focando seu chakra zen.,Capivara majestosa do tamanho de um urso. Pelagem dourada.,Som suave de água corrente.,Kapiy,-,Bibarel
41,Tatokora,Tatu + Kora (Cerca/Proteção),Ground/Steel,Tatu-bola,O Blindado,Se fecha numa esfera de aço perfeita. Imune a ataques físicos quando enrolado. Usado como bola em jogos tribais.,Tatu amarelo com carapaça metálica segmentada.,Som de bola de boliche rolando.,-,Tatugûaçu,
42,Tatugûaçu,Tatu + Guaçu,Ground/Steel,Tatu-canastra,A Escavadeira,Suas garras escavam túneis no leito de rocha. A carapaça resiste a banhos de lava.,Tatu gigante bípede com garras enormes e carapaça com espinhos.,Som de perfuratriz industrial.,Tatokora,-,Excadrill
43,Guará,Guará (Vermelho),Fire/Dark,Lobo-guará,O Pernalta,Caminha silenciosamente. Suas pernas longas permitem ver acima do capim alto sem ser visto.,Lobo esguio laranja pernas pretas muito longas crina preta.,Uivo triste e solitário.,-,Guarama,Houndour
44,Guarama,Guará + Rama (Chama),Fire/Dark,Lobo Místico,O Guardião do Crepúsculo,Guia almas perdidas no cerrado. Suas patas deixam pegadas de fogo fátuo que não queimam a grama.,Lobo elegante com aura de chamas negras nas patas e orelhas.,Uivo que soa como flauta de bambu.,Guará,-,Houndoom
45,Kavamirim,Kawara (Cavalo) + Mirim,Fire/Ghost,Potro Selvagem,O Potro Fátuo,Potro que nasceu durante uma queimada. Seu pelo acumula tanto calor que brilha no escuro.,Potro cinza-fumaça olhos vazios crina vaporosa.,Relincho ecoante e triste.,-,Kawatata,Litwick
46,Kawatata,Kawara + Tata,Fire/Ghost,Cavalo Selvagem,O Galope Ígneo,A crina é composta de gases combustíveis que queimam perpetuamente. Galopa tão rápido que deixa trilhas de fogo.,Cavalo robusto de pelagem escura labaredas saindo da crina e cauda.,Som de galope pesado e fogo rugindo.,Kavamirim,-,Hisuian Typhlosion
47,Mboita,Mboia (Cobra) + Tata,Fire/Dragon,Cobra-coral,A Faísca,Uma serpente com coloração que lembra brasas. Seu veneno causa uma sensação de queimação intensa.,Serpente flutuante de fogo olhos grandes e brilhantes.,Som de fogo crepitando.,-,Mboiguaçu,Turtonator
48,Mboiguaçu,Mboia + Guaçu + Tata,Fire/Dragon,Sucuri Gigante (Titanoboa),O Inferno Serpenteante,Uma Titanoboa que vive em crateras vulcânicas. Sua pele de obsidiana retém o calor do magma.,Dragão serpenteante massivo de magma e chamas azuis. Múltiplos olhos térmicos no corpo.,Rugido de fogo avassalador.,Mboita,-,Mega Charizard X
49,Urutama,Urutau + Tama (Escuridão/Agouro),Ghost/Flying,Urutau (Mãe-da-lua),O Mímico,Se camufla perfeitamente como um tronco morto. Dizem que seu canto triste pode sugar a alegria de quem ouve.,Pássaro com plumagem de casca de árvore olhos amarelos enormes e pupilas verticais.,Canto melancólico e decrescente (Hu-hu-hu).,-,-,Drifblim
50,Jaguarete,Jagua (Onça) + Ete (Verdadeira),Dark/Grass,Onça-pintada,O Predador Alfa,Mestre da emboscada. Suas rosetas mudam de padrão para se misturar à folhagem. Sua mordida quebra cascos de Tatugûaçu.,Onça robusta com rosetas que parecem olhos na escuridão. Presas enormes.,Esturros graves e som de folhas sendo esmagadas.,-,-,Zarude
